second,U1,U2
0.21675,0.4341708,0.4215452
0.21925,0.4582915,0.4315955
0.22175,0.4904523,0.4818467
0.22425,0.4904523,0.4699121
0.22675,0.4952261,0.4818467
0.22925,0.4896985,0.4881281
0.23175,0.4535176,0.4535804
0.23425,0.4253769,0.411495
0.23675,0.3665829,0.3694095
0.23925,0.3128141,0.3292085
0.24175,0.2444724,0.2607412
0.24425,0.1776382,0.1866206
0.24675,0.1045226,0.1282035
