second,Volt1,Volt2
+1.29000E-06,+426.13064870E-03,-16.08040184E-03
+1.39000E-06,+442.21105054E-03,-16.08040184E-03
+1.49000E-06,+442.21105054E-03,-24.12060276E-03
+1.59000E-06,+458.29145238E-03,-16.08040184E-03
+1.69000E-06,+474.37185422E-03,-24.12060276E-03
+1.79000E-06,+474.37185422E-03,-16.08040184E-03
+1.89000E-06,+482.41205513E-03,-16.08040184E-03
+1.99000E-06,+498.49245697E-03,-16.08040184E-03
+2.09000E-06,+490.45225605E-03,-24.12060276E-03
+2.19000E-06,+490.45225605E-03,-24.12060276E-03
+2.29000E-06,+498.49245697E-03,-16.08040184E-03
+2.39000E-06,+482.41205514E-03,-16.08040184E-03
+2.49000E-06,+490.45225605E-03,-16.08040184E-03
+2.59000E-06,+474.37185422E-03,-16.08040184E-03
+2.69000E-06,+466.33165330E-03,-24.12060276E-03
+2.79000E-06,+450.25125146E-03,-24.12060276E-03
+2.89000E-06,+442.21105054E-03,-24.12060276E-03
+2.99000E-06,+426.13064870E-03,-8.04020092E-03
+3.09000E-06,+410.05024686E-03,-16.08040184E-03
+3.19000E-06,+385.92964411E-03,-24.12060276E-03
+3.29000E-06,+369.84924227E-03,-16.08040184E-03
+3.39000E-06,+353.76884043E-03,-16.08040184E-03
+3.49000E-06,+329.64823768E-03,-16.08040184E-03
+3.59000E-06,+305.52763492E-03,-16.08040184E-03
+3.69000E-06,+281.40703216E-03,-16.08040184E-03
+3.79000E-06,+257.28642941E-03,-16.08040184E-03
+3.89000E-06,+233.16582665E-03,-8.04020092E-03
+3.99000E-06,+201.00502297E-03,-16.08040184E-03
+4.09000E-06,+176.88442022E-03,-16.08040184E-03
+4.19000E-06,+136.68341562E-03,-16.08040184E-03
+4.29000E-06,+112.56281286E-03,-8.04020092E-03
+4.39000E-06,+80.40200919E-03,-8.04020092E-03
+4.49000E-06,+48.24120551E-03,-8.04020092E-03
+4.59000E-06,+16.08040184E-03,-8.04020092E-03
