second,Volt1,Volt2
-55.000E-06,-48.241206E-03,-280.376881E-03
-5.000E-06,+0.0E+00,-254.246228E-03
+45.000E-06,+56.281406E-03,-222.085425E-03
+95.000E-06,+98.492461E-03,-189.924621E-03
+145.000E-06,+160.804018E-03,-157.763817E-03
+195.000E-06,+207.035174E-03,-119.572863E-03
+245.000E-06,+251.256279E-03,-93.442210E-03
+295.000E-06,+297.487434E-03,-51.231155E-03
+345.000E-06,+341.708539E-03,-13.040201E-03
+395.000E-06,+377.889443E-03,+27.160804E-03
+445.000E-06,+412.060297E-03,+65.351758E-03
+495.000E-06,+434.170850E-03,+99.522612E-03
+545.000E-06,+458.291452E-03,+133.693466E-03
+595.000E-06,+480.402005E-03,+171.884420E-03
+645.000E-06,+488.442206E-03,+204.045224E-03
+695.000E-06,+502.512557E-03,+228.165827E-03
+745.000E-06,+498.492457E-03,+254.296480E-03
+795.000E-06,+492.462306E-03,+290.477384E-03
+845.000E-06,+474.371854E-03,+306.557786E-03
+895.000E-06,+468.341704E-03,+322.638188E-03
+945.000E-06,+442.211051E-03,+332.688439E-03
+995.000E-06,+412.060297E-03,+342.738690E-03
+1.045000E-03,+391.959795E-03,+356.809041E-03
+1.095000E-03,+345.728640E-03,+342.738690E-03
+1.145000E-03,+319.597987E-03,+348.768841E-03
+1.195000E-03,+265.326630E-03,+344.748740E-03
+1.245000E-03,+225.125626E-03,+332.688439E-03
+1.295000E-03,+174.874370E-03,+312.587936E-03
+1.345000E-03,+126.633164E-03,+300.527635E-03
+1.395000E-03,+72.361808E-03,+278.417083E-03
+1.445000E-03,+14.070352E-03,+246.256279E-03
+1.495000E-03,-34.170854E-03,+234.195977E-03
+1.545000E-03,-90.452260E-03,+189.974872E-03
+1.595000E-03,-138.693466E-03,+163.844219E-03
+1.645000E-03,-198.994973E-03,+127.663315E-03
+1.695000E-03,-241.206028E-03,+91.482411E-03
+1.745000E-03,-283.417082E-03,+51.281407E-03
+1.795000E-03,-329.648238E-03,+13.090452E-03
+1.845000E-03,-373.869343E-03,-27.110552E-03
+1.895000E-03,-404.020096E-03,-67.311557E-03
+1.945000E-03,-432.160799E-03,-87.412059E-03
+1.995000E-03,-456.281402E-03,-139.673365E-03
+2.045000E-03,-472.361804E-03,-165.804018E-03
+2.095000E-03,-492.462306E-03,-203.994973E-03
+2.145000E-03,-498.492457E-03,-230.125626E-03
+2.195000E-03,-506.532658E-03,-254.246228E-03
+2.245000E-03,-506.532658E-03,-286.407032E-03
+2.295000E-03,-496.482407E-03,-310.527635E-03
+2.345000E-03,-474.371854E-03,-318.567836E-03
+2.395000E-03,-458.291452E-03,-342.688438E-03
+2.445000E-03,-438.190950E-03,-344.698489E-03
+2.495000E-03,-410.050247E-03,-364.798991E-03
+2.545000E-03,-371.859292E-03,-358.768840E-03
+2.595000E-03,-331.658288E-03,-360.778891E-03
+2.645000E-03,-297.487434E-03,-358.768840E-03
+2.695000E-03,-243.216078E-03,-350.728639E-03
+2.745000E-03,-201.005023E-03,-334.648238E-03
+2.795000E-03,-144.723617E-03,-320.577886E-03
+2.845000E-03,-96.482411E-03,-288.417082E-03
+2.895000E-03,-40.201005E-03,-270.326630E-03
+2.945000E-03,+8.040201E-03,-252.236178E-03
+2.995000E-03,+64.321607E-03,-216.055274E-03
+3.045000E-03,+110.552763E-03,-189.924621E-03
+3.095000E-03,+166.834169E-03,-151.733667E-03
+3.145000E-03,+217.085425E-03,-111.532662E-03
+3.195000E-03,+269.346731E-03,-77.361808E-03
+3.245000E-03,+311.557786E-03,-39.170854E-03
+3.295000E-03,+345.728640E-03,-2.989950E-03
+3.345000E-03,+383.919594E-03,+21.130653E-03
+3.395000E-03,+412.060297E-03,+67.361808E-03
+3.445000E-03,+442.211051E-03,+109.572863E-03
+3.495000E-03,+458.291452E-03,+139.723617E-03
+3.545000E-03,+486.432156E-03,+171.884420E-03
+3.595000E-03,+492.462306E-03,+210.075375E-03
+3.645000E-03,+504.522608E-03,+244.246229E-03
+3.695000E-03,+492.462306E-03,+266.356781E-03
+3.745000E-03,+496.482407E-03,+284.447233E-03
+3.795000E-03,+482.412055E-03,+302.537685E-03
+3.845000E-03,+460.301503E-03,+322.638188E-03
+3.895000E-03,+438.190950E-03,+338.718589E-03
+3.945000E-03,+416.080398E-03,+348.768841E-03
+3.995000E-03,+383.919594E-03,+354.798991E-03
